Main_Video_Url,Total Number of Ads,Duration(s),Size Original (Bytes),Resolution,Advertisement 1 ID,Advertisement 1 Count,Advertisement 1 Skippable,Advertisement 1 Skip Duration,Advertisement 1 Resolution,Advertisement 1 Size(Bytes),Advertisement 1 Durationn(s),Advertisement 1 Advert_Buffer(s),Advertisement 1 Main_Buffer_Lost(s),Avertisement 1 Timestamp,Advertisement 2 ID,Advertisement 2 Count,Advertisement 2 Skippable,Advertisement 2 Skip Duration,Advertisement 2 Resolution,Advertisement 2 Size(Bytes),Advertisement 2 Durationn(s),Advertisement 2 Advert_Buffer(s),Advertisement 2 Main_Buffer_Lost(s),Avertisement 2 Timestamp,Advertisement 3 ID,Advertisement 3 Count,Advertisement 3 Skippable,Advertisement 3 Skip Duration,Advertisement 3 Resolution,Advertisement 3 Size(Bytes),Advertisement 3 Durationn(s),Advertisement 3 Advert_Buffer(s),Advertisement 3 Main_Buffer_Lost(s),Avertisement 3 Timestamp,Advertisement 4 ID,Advertisement 4 Count,Advertisement 4 Skippable,Advertisement 4 Skip Duration,Advertisement 4 Resolution,Advertisement 4 Size(Bytes),Advertisement 4 Durationn(s),Advertisement 4 Advert_Buffer(s),Advertisement 4 Main_Buffer_Lost(s),Avertisement 4 Timestamp,Advertisement 5 ID,Advertisement 5 Count,Advertisement 5 Skippable,Advertisement 5 Skip Duration,Advertisement 5 Resolution,Advertisement 5 Size(Bytes),Advertisement 5 Durationn(s),Advertisement 5 Advert_Buffer(s),Advertisement 5 Main_Buffer_Lost(s),Avertisement 5 Timestamp,Advertisement 6 ID,Advertisement 6 Count,Advertisement 6 Skippable,Advertisement 6 Skip Duration,Advertisement 6 Resolution,Advertisement 6 Size(Bytes),Advertisement 6 Durationn(s),Advertisement 6 Advert_Buffer(s),Advertisement 6 Main_Buffer_Lost(s),Avertisement 6 Timestamp,Advertisement 7 ID,Advertisement 7 Count,Advertisement 7 Skippable,Advertisement 7 Skip Duration,Advertisement 7 Resolution,Advertisement 7 Size(Bytes),Advertisement 7 Durationn(s),Advertisement 7 Advert_Buffer(s),Advertisement 7 Main_Buffer_Lost(s),Avertisement 7 Timestamp,Advertisement 8 ID,Advertisement 8 Count,Advertisement 8 Skippable,Advertisement 8 Skip Duration,Advertisement 8 Resolution,Advertisement 8 Size(Bytes),Advertisement 8 Durationn(s),Advertisement 8 Advert_Buffer(s),Advertisement 8 Main_Buffer_Lost(s),Avertisement 8 Timestamp,Advertisement 9 ID,Advertisement 9 Count,Advertisement 9 Skippable,Advertisement 9 Skip Duration,Advertisement 9 Resolution,Advertisement 9 Size(Bytes),Advertisement 9 Durationn(s),Advertisement 9 Advert_Buffer(s),Advertisement 9 Main_Buffer_Lost(s),Avertisement 9 Timestamp,Advertisement 10 ID,Advertisement 10 Count,Advertisement 10 Skippable,Advertisement 10 Skip Duration,Advertisement 10 Resolution,Advertisement 10 Size(Bytes),Advertisement 10 Durationn(s),Advertisement 10 Advert_Buffer(s),Advertisement 10 Main_Buffer_Lost(s),Avertisement 10 Timestamp
https://www.youtube.com/watch?v=VAtwSLLkNjs,2,199,4390711.0,360x360 ,3uoGJ5_he4o,1.0,1.0,5.0,640x360,16736536.0,227.0,13.39,-1.0,0.0,bZ5LDw6H3_o,1.0,1.0,5.0,640x360,750943.0,11.0,9.6,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=cp56LIoIqeY,1,64,4459874.0,640x360 ,tPN114AMe4w,1.0,1.0,5.0,640x360,1655647.0,20.0,12.37,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=xHIxrJeUdKM,0,58,2555597.0,640x360 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=y6mrOfX3E94,1,47,2309004.0,638x360 ,aDBeo4gD-Qs,1.0,1.0,5.0,640x360,2565457.0,35.0,22.37,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=ykENq5dlTvM,2,1202,89543861.0,640x360 ,mSmEZm7x9GM,1.0,1.0,5.0,640x360,14533152.0,167.0,12.96,-1.0,0.0,rD_u1SduYPI,1.0,1.0,5.0,640x360,3329443.0,40.0,7.3,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=9Ue6YPrM_PU,2,366,30293352.0,640x360 ,q8Yh-It90qw,1.0,1.0,5.0,640x360,11499035.0,176.0,22.45,-1.0,0.0,BrGCPH_5pnI,1.0,1.0,5.0,640x360,3318495.0,44.0,19.62,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=B0Lsp4P3vlk,2,224,17505217.0,640x360 ,BXB6GWVdCFc,1.0,1.0,5.0,640x360,16676040.0,181.0,18.24,-1.0,0.0,pXLSUhI6eRA,1.0,1.0,5.0,640x360,1118618.0,16.0,15.65,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=Z8oSC7bw6KY,2,136,7145854.0,640x360 ,VB63Nv8SicQ,1.0,1.0,5.0,640x360,939822.0,16.0,15.12,-1.0,0.0,h691fDortSM,1.0,1.0,5.0,640x360,13809257.0,189.0,12.16,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=dm7Qb3GNoOI,2,218,16428708.0,640x360 ,m6wmnXi6D_w,1.0,1.0,5.0,640x360,2666992.0,38.0,12.67,-1.0,0.0,-UM21mUkrI0,1.0,1.0,5.0,640x360,914387.0,16.0,15.44,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=xHIxrJeUdKM,0,58,2555597.0,640x360 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=UBURTj20HXI,2,259,22088844.0,640x360 ,Su4--GpEr44,1.0,1.0,5.0,640x360,1021359.0,15.0,12.1,-1.0,0.0,azMFp8pgMCA,1.0,1.0,5.0,640x360,700570.0,20.0,9.76,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=1VmDP-gwgic,2,193,17440291.0,640x360 ,heihCpHHjbA,1.0,1.0,5.0,640x360,18121008.0,243.0,20.66,-1.0,0.0,4jCs6NZ_8J0,1.0,1.0,5.0,640x360,1345931.0,16.0,15.49,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=XsSpBZXW538,2,153,11828141.0,640x360 ,VisKZSN4fys,1.0,1.0,5.0,640x360,1504406.0,48.0,45.12,-1.0,0.0,i0HZLxysOqA,1.0,1.0,5.0,640x360,12853408.0,179.0,20.73,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=8HJ-7c6P1e8,2,293,15246483.0,640x360 ,zNflcQabqsU,1.0,1.0,5.0,640x360,22956890.0,294.0,16.759999999999998,-1.0,0.0,OrxN-3TBSM8,1.0,1.0,5.0,640x360,2249915.0,30.0,9.36,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=IxX9T1F0d1s,2,253,11410801.0,640x360 ,Hd2l7c2mTAA,1.0,1.0,5.0,640x360,3896554.0,46.0,9.22,-1.0,0.0,kaM6Ga7Oc8o,1.0,1.0,5.0,640x360,6574272.0,90.0,23.3,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=lrxLco_LXVk,3,1412,130937470.0,640x360 ,c1N_eCVXIPc,1.0,1.0,5.0,640x360,3087253.0,51.0,50.55,48.94,130.966868,qSwNCKP4Tbg,1.0,1.0,5.0,640x360,9989210.0,168.0,60.34,0.0,130.966868,con-1FBfD8c,1.0,1.0,5.0,640x360,3971212.0,103.0,87.39,12.67,359.701285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=54W0KTtOyMk,2,556,46803182.0,640x360 ,bTxP_3L4VOY,1.0,1.0,5.0,640x360,1362453.0,17.0,14.56,-1.0,0.0,322SPDulsPA,1.0,1.0,5.0,640x360,1343663.0,21.0,10.37,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=FkAIGftxX5A,2,178,16384173.0,640x360 ,fEo-5fl33pM,1.0,1.0,5.0,640x360,622891.0,13.0,12.43,-1.0,177.562993,_FzxOYq_Jjg,1.0,1.0,5.0,640x360,16395940.0,223.0,49.95,0.0,177.562993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.youtube.com/watch?v=-DfASq0SRhI,4,803,41758348.0,640x360 ,p7kcZYAES-E,1.0,1.0,5.0,640x360,787403.0,16.0,13.44,-1.0,0.0,OIJpbXukQ_s,1.0,1.0,5.0,640x360,912653.0,16.0,13.64,0.0,0.0,bFsPXDGfcsM,1.0,1.0,5.0,640x360,5098085.0,128.0,86.91,11.32,311.794018,FRskbyz9PRM,1.0,1.0,5.0,640x360,1578708.0,25.0,25.65,0.0,311.794018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
